model,accuracy,precision,recall,f1,f2,roc_auc,auprc,precision_normal,recall_normal,f1_normal,precision_at_risk,recall_at_risk,f1_at_risk
kNN (Tuned),0.7369430120322623,0.6866666666666666,0.8716117942615365,0.7681640738798579,0.8270601224530764,0.8165235023729187,0.7591210600804297,0.8242851972493667,0.6022742298029883,0.6960042784017113,0.6866666666666666,0.8716117942615365,0.7681640738798579
AdaBoost (Tuned),0.6475604918683062,0.6027435094825999,0.865661774428137,0.7106648575305292,0.7962008075108236,0.7275303860809099,0.6842681916040041,0.7617260787992496,0.4294592093084755,0.5492517121839858,0.6027435094825999,0.865661774428137,0.7106648575305292
Random Forest (Tuned),0.7536030675657808,0.7333333333333333,0.7970382123495967,0.7638598492048406,0.7834269078810564,0.8385397645891135,0.8376428609182593,0.7777295105705184,0.7101679227819648,0.742414817886516,0.7333333333333333,0.7970382123495967,0.7638598492048406
Stacking Ensemble,0.7699986777733704,0.7713260696252989,0.7675525585085283,0.7694346875207104,0.7683043040923289,0.8566989380525372,0.8700087242967061,0.7686842105263157,0.7724447970382123,0.7705599155839873,0.7713260696252989,0.7675525585085283,0.7694346875207104
Voting Ensemble,0.7458019304508793,0.7308169853488949,0.7782625942086474,0.7537939424985592,0.7682869524356498,0.8307521941523106,0.8368905084627231,0.7628676470588235,0.7133412666931112,0.7372736590365562,0.7308169853488949,0.7782625942086474,0.7537939424985592
BO-TabNet,0.6931773105910353,0.6664388243335612,0.7735025783419278,0.7159904534606205,0.749423520368947,0.7572004663230905,0.7271124120467456,0.7301512287334594,0.6128520428401428,0.6663791244339012,0.6664388243335612,0.7735025783419278,0.7159904534606205
LightGBM (Tuned),0.7397857992859976,0.7344537815126051,0.7511569483009388,0.7427114655510524,0.7477558111985679,0.8281516752513494,0.8430113368868346,0.745365985658233,0.7284146502710565,0.7367928313494717,0.7344537815126051,0.7511569483009388,0.7427114655510524
CatBoost (Tuned),0.7526775089250297,0.757200538358008,0.743884701837895,0.7504835589941973,0.746510270155512,0.8408325506706249,0.8576291317410676,0.7483108108108109,0.7614703160121645,0.7548332131856609,0.757200538358008,0.743884701837895,0.7504835589941973
XGBoost (Tuned),0.7241174137247124,0.7112939416604338,0.7544625148750496,0.7322425409047161,0.7454146417933846,0.8087152584865647,0.8136572297858358,0.738597972972973,0.6937723125743752,0.7154837390059317,0.7112939416604338,0.7544625148750496,0.7322425409047161
Naive Bayes,0.6628983207721804,0.6329018338727077,0.7757503636123232,0.6970831105566447,0.7422448256667172,0.7224163078883468,0.6915219267100922,0.7103825136612022,0.5500462779320375,0.6200163946642819,0.6329018338727077,0.7757503636123232,0.6970831105566447
