feature,class,type,n,mean,std,median,q1,q3,min,max,mode,missing_pct
Ave_SBP,All,continuous,76599,119.726,19.734,118.0,107.333,129.333,66.0,262.667,,0.4%
Ave_SBP,Normal,continuous,50184,116.148,18.377,112.667,102.667,124.0,66.0,250.667,,
Ave_SBP,At-Risk,continuous,26415,126.523,20.426,122.667,112.0,136.667,68.667,262.667,,
Ave_DBP,All,continuous,76599,75.827,11.851,74.667,68.667,82.0,34.0,172.667,,0.4%
Ave_DBP,Normal,continuous,50184,74.178,11.462,72.0,66.0,81.333,34.0,172.667,,
Ave_DBP,At-Risk,continuous,26415,78.959,11.947,79.333,70.667,85.333,38.667,160.667,,
drnk_30d_num,All,continuous,37976,535216.144,498754.067,999999.0,7.1,999999.0,0.0,999999.0,,50.6%
drnk_30d_num,Normal,continuous,24846,555509.785,496910.06,999999.0,7.02,999999.0,0.0,999999.0,,
drnk_30d_num,At-Risk,continuous,13130,496814.331,499994.806,375.0,7.3,999999.0,0.0,999999.0,,
chol,All,continuous,43291,186.764,42.828,183.05,157.12,212.42,30.27,795.83,,43.7%
chol,Normal,continuous,28108,180.963,40.462,177.39,152.838,205.09,30.27,531.29,,
chol,At-Risk,continuous,15183,197.502,44.963,194.18,167.535,223.885,46.77,795.83,,
tri,All,continuous,43293,155.502,105.79,129.71,94.42,183.59,26.54,3522.11,,43.7%
tri,Normal,continuous,28109,140.841,86.255,119.84,88.57,167.17,26.54,2056.69,,
tri,At-Risk,continuous,15184,182.643,130.395,151.045,109.15,214.915,28.92,3522.11,,
hdl,All,continuous,43294,41.835,11.165,40.52,34.0,48.267,3.09,167.42,,43.7%
hdl,Normal,continuous,28109,42.357,11.137,41.05,34.47,48.93,7.38,119.85,,
hdl,At-Risk,continuous,15185,40.87,11.152,39.6,33.16,47.08,3.09,167.42,,
ldl,All,continuous,43292,110.223,36.298,107.01,84.9,131.93,3.87,477.6,,43.7%
ldl,Normal,continuous,28108,107.028,34.719,103.74,82.758,127.4,3.87,399.75,,
ldl,At-Risk,continuous,15184,116.139,38.36,114.08,89.875,139.532,4.84,477.6,,
waist,All,continuous,75668,79.031,11.447,78.333,70.333,86.667,45.3,153.5,,1.6%
waist,Normal,continuous,49598,76.753,10.795,75.6,68.6,84.0,45.3,153.5,,
waist,At-Risk,continuous,26070,83.366,11.401,83.333,75.3,91.0,48.2,139.7,,
hip,All,continuous,63876,89.287,8.21,88.533,83.467,94.2,45.4,154.0,,17.0%
hip,Normal,continuous,41581,88.108,7.762,87.367,82.633,92.667,50.1,145.833,,
hip,At-Risk,continuous,22295,91.487,8.562,90.8,85.55,96.533,45.4,154.0,,
uic,All,continuous,40022,165.663,132.986,137.0,70.0,226.0,0.054,2109.0,,48.0%
uic,Normal,continuous,27001,168.862,134.027,140.0,72.0,231.179,0.054,2109.0,,
uic,At-Risk,continuous,13021,159.03,130.556,130.0,66.61,214.0,0.529,1280.0,,
vita,All,continuous,40966,46.363,15.709,44.0,36.0,55.0,4.0,192.0,,46.7%
vita,Normal,continuous,27721,44.515,14.668,42.0,34.0,53.0,4.0,192.0,,
vita,At-Risk,continuous,13245,50.23,17.055,48.0,39.0,59.0,5.0,188.0,,
hemoglobin,All,continuous,76927,13.957,1.536,13.9,13.0,15.0,3.9,23.0,,0.0%
hemoglobin,Normal,continuous,50416,13.925,1.548,13.9,12.9,15.0,3.9,23.0,,
hemoglobin,At-Risk,continuous,26511,14.018,1.511,14.0,13.1,15.0,4.4,21.1,,
age,All,continuous,76929,44.694,16.347,44.005,31.348,56.805,18.001,102.486,,0.0%
age,Normal,continuous,50418,41.319,16.352,39.14,27.556,52.848,18.001,102.486,,
age,At-Risk,continuous,26511,51.113,14.283,51.431,40.977,61.403,18.001,96.014,,
bmi,All,continuous,75657,23.677,4.291,23.238,20.544,26.285,10.815,62.625,,1.7%
bmi,Normal,continuous,49588,23.022,4.062,22.558,20.091,25.463,10.815,62.625,,
bmi,At-Risk,continuous,26069,24.923,4.436,24.632,21.798,27.625,12.129,57.481,,
tri_hdl_ratio,All,continuous,43293,4.31,4.768,3.18,2.095,5.03,0.458,312.272,,43.7%
tri_hdl_ratio,Normal,continuous,28109,3.8,3.505,2.891,1.95,4.496,0.458,105.086,,
tri_hdl_ratio,At-Risk,continuous,15184,5.254,6.379,3.814,2.459,6.06,0.476,312.272,,
ldl_hdl_ratio,All,continuous,43292,2.78,1.092,2.634,2.014,3.38,0.123,19.78,,43.7%
ldl_hdl_ratio,Normal,continuous,28108,2.665,1.041,2.51,1.942,3.222,0.249,19.78,,
ldl_hdl_ratio,At-Risk,continuous,15184,2.993,1.151,2.871,2.193,3.636,0.123,15.36,,
bmi_tri_interact,All,continuous,42569,37.93,29.135,30.672,20.75,45.974,4.225,1426.944,,44.7%
bmi_tri_interact,Normal,continuous,27659,33.294,23.023,27.232,18.919,40.418,4.225,489.666,,
bmi_tri_interact,At-Risk,continuous,14910,46.531,36.421,37.986,25.825,56.126,5.021,1426.944,,
currentsmoking,All,categorical,75029,,,,,,0.0,3.0,0.0,2.5%
currentsmoking,Normal,categorical,49112,,,,,,0.0,3.0,0.0,
currentsmoking,At-Risk,categorical,25917,,,,,,0.0,3.0,0.0,
ever_smk,All,categorical,60457,,,,,,0.0,5.0,0.0,21.4%
ever_smk,Normal,categorical,39499,,,,,,0.0,5.0,0.0,
ever_smk,At-Risk,categorical,20958,,,,,,0.0,5.0,0.0,
alcohol,All,categorical,75029,,,,,,0.0,1.0,1.0,2.5%
alcohol,Normal,categorical,49112,,,,,,0.0,1.0,1.0,
alcohol,At-Risk,categorical,25917,,,,,,0.0,1.0,1.0,
con_alcohol,All,categorical,50120,,,,,,0.0,1.0,1.0,34.8%
con_alcohol,Normal,categorical,32408,,,,,,0.0,1.0,1.0,
con_alcohol,At-Risk,categorical,17712,,,,,,0.0,1.0,1.0,
drnk_30days,All,categorical,33085,,,,,,0.0,1.0,1.0,57.0%
drnk_30days,Normal,categorical,21496,,,,,,0.0,1.0,1.0,
drnk_30days,At-Risk,categorical,11589,,,,,,0.0,1.0,1.0,
smoke_status,All,categorical,75029,,,,,,0.0,2.0,0.0,2.5%
smoke_status,Normal,categorical,49112,,,,,,0.0,2.0,0.0,
smoke_status,At-Risk,categorical,25917,,,,,,0.0,2.0,0.0,
alcohol_status,All,categorical,75029,,,,,,0.0,2.0,1.0,2.5%
alcohol_status,Normal,categorical,49112,,,,,,0.0,2.0,1.0,
alcohol_status,At-Risk,categorical,25917,,,,,,0.0,2.0,1.0,
binge_drink,All,categorical,75029,,,,,,0.0,1.0,0.0,2.5%
binge_drink,Normal,categorical,49112,,,,,,0.0,1.0,0.0,
binge_drink,At-Risk,categorical,25917,,,,,,0.0,1.0,0.0,
pa_met,All,categorical,75279,,,,,,0.0,1.0,1.0,2.1%
pa_met,Normal,categorical,49271,,,,,,0.0,1.0,1.0,
pa_met,At-Risk,categorical,26008,,,,,,0.0,1.0,1.0,
anthro_group,All,categorical,75705,,,,,,3.0,6.0,4.0,1.6%
anthro_group,Normal,categorical,49619,,,,,,3.0,6.0,4.0,
anthro_group,At-Risk,categorical,26086,,,,,,3.0,6.0,4.0,
sex,All,categorical,76929,,,,,,1.0,2.0,2.0,0.0%
sex,Normal,categorical,50418,,,,,,1.0,2.0,2.0,
sex,At-Risk,categorical,26511,,,,,,1.0,2.0,2.0,
