region_label,prevalence,n_atrisk,n_total,prevalence_pct
BARMM,0.24893617021276596,819,3290,24.893617021276597
Region VII,0.2893654524089307,985,3404,28.936545240893068
CARAGA,0.2992905153099328,1603,5356,29.929051530993277
Region IX,0.3169877408056042,1448,4568,31.698774080560423
Region X,0.31796632336112474,1945,6117,31.796632336112474
Region XI,0.31864473168820995,1627,5106,31.864473168820993
Region XII,0.32234789391575663,1653,5128,32.23478939157566
Region IV-B,0.32312150693438213,1561,4831,32.31215069343821
Region V,0.34069400630914826,972,2853,34.06940063091483
Region VIII,0.3465717981888745,2679,7730,34.65717981888745
CAR,0.3545430741031684,1354,3819,35.45430741031684
NCR,0.3606331727460427,2096,5812,36.063317274604266
Region II,0.3686551543694401,1409,3822,36.86551543694401
Region VI,0.37534193044157876,1921,5118,37.534193044157874
Region IV-A,0.3942269671807038,997,2529,39.422696718070384
Region III,0.4557309540150995,1992,4371,45.57309540150995
Region I,0.4715447154471545,1450,3075,47.15447154471545
