feature,mean_abs_shap
age,0.09677036502421195
waist,0.06333344656435046
Ave_SBP,0.035859078535605875
smoke_status,0.022860247524237574
tri,0.021127629412405365
hemoglobin,0.01716981737506515
ldl_hdl_ratio,0.013746814933321326
sex,0.01367749258059935
hdl,0.00896713716849336
vita,0.008596590127986999
con_alcohol,0.008284988097547805
drnk_30d_num,0.008268870785024736
Ave_DBP,0.008141926483219139
uic,0.007974707316068141
ever_smk,0.007714232721304325
pa_met,0.007287961521274435
ldl,0.007022137859933666
anthro_group,0.006765734229451451
currentsmoking,0.006261211245085523
alcohol,0.005871999884032535
binge_drink,0.004071570190784844
drnk_30days,0.003574852629799398
