,BO-TabNet,xgboost,random_forest,lightgbm,catboost,mean_across_models
age,0.09900831424395211,0.5181898,0.0920098902575723,0.478786243053462,0.4680230933176069,0.3312034657474557
weight,0.056443537421739964,0.24304491,0.05038336709025151,0.23084633424365142,0.2403766697156117,0.16421896425726973
Ave_SBP,0.036514659312335135,0.2228288,0.05116281631775545,0.22288980267012926,0.2144551526252934,0.14957024727442758
tri,0.028020729446135442,0.10279333,0.024859700600968846,0.09660474988550223,0.11055585107370137,0.07256687189406782
pa_met,0.0292020716694009,0.07891271,0.007975376398860716,0.10072656319639968,0.11858011215012598,0.06707936720967941
drnk_30d_num,0.005448313746996522,0.08855646,0.01270680003360945,0.09577270585277914,0.06943085086891848,0.054383026307701775
hemoglobin,0.014441901809754062,0.052777074,0.013152459392187552,0.05541976686059992,0.04446763975865168,0.03605176841971884
chol,0.009242075875714444,0.035674177,0.021838788774811678,0.04949558182130583,0.04126877386344062,0.03150387948909354
vita,0.00614793197121828,0.020041093,0.020695822454208968,0.04792490840281917,0.02750210383233822,0.024462371978166426
Ave_DBP,0.005214261478530231,0.02735882,0.019084251213032966,0.04579910387181285,0.015223874354670552,0.022536062315989806
binge_drink,0.004856302069906348,0.028629366,0.004225334934324663,0.02837227707606666,0.04444723888048213,0.0221061038538461
height,0.024212321555589385,0.031097265,0.0074317966375066664,0.01936471006185703,0.0061915280836520705,0.017659524259802672
sex,0.010738908739287605,0.02103349,0.004188723561454844,0.02178650100751987,0.023237646020052724,0.01619705388099523
hdl,0.009937118359065172,0.013601464,0.00800626282933293,0.012111725063365535,0.005331304114487338,0.009797574917128463
uic,0.00556423967116381,0.014263691,0.009469405016001846,0.014744794357118458,0.0037608726592270277,0.009560600616826228
anthro_group,0.003996111248171144,0.009342482,0.004787948517330912,0.014742332162809449,0.011709482593350869,0.008915671367035225
drnk_30days,0.003987799014577759,0.006869032,0.0020570832232514194,0.01035846781243002,0.013090418372734463,0.007272560094136524
alcohol,0.0035665828576619,0.008877123,0.002441614882279874,0.005733314961288578,0.009513291483117997,0.006026385391813709
currentsmoking,0.002959495888947604,0.009640393,0.0025584787718293672,0.0073930343182924355,0.00527421935764988,0.005565124236815694
smoke_status,0.01134213131609124,0.004946565,0.001723093969340757,0.001527513159604431,0.007508138010313148,0.005409488249042203
ever_smk,0.005806755291341746,0.0034498551,0.002030317375632291,0.004939932972662553,0.0013275773188604404,0.003510887619595215
con_alcohol,0.004254716914176767,0.0027791632,0.001529119034541167,0.001240349746502418,0.007070384506242664,0.0033747466777665444
